"Date","United.States.USD.","Europe.EUR.","Japan.JPY.","United.Kingdom.GBP.","Canada.CAD.","Switzerland.CHF.","India.INR.","China.CNY.","Turkey.TRY.","Saudi.Arabia.SAR.","Indonesia.IDR.","United.Arab.Emirates.AED.","Thailand.THB.","Vietnam.VND.","Egypt.EGP.","South.Korean.KRW.","Australia.AUD.","South.Africa.ZAR."
"31-01-1979",0,0,0.0957314175340105,0.000891729211562758,0,0,0,0.322495416061366,0.108025051509066,0,0,0,0,0.309537525427687,0.195313957764018,0,0,0
"28-02-1979",0.0102105934907467,0.00656880487968361,0.123794727846254,0.00594486141041837,0.0124386825508059,0.0247975708502024,0.00120153436430466,0.322495416061366,0.108025051509066,0.0125233106417818,0.000526854803426923,0.0142890976553249,0.00841040805725601,0.309537525427687,0.195313957764018,0.00527470744961816,0.00902316213494461,0.000451987684093977
"30-03-1979",0.00371294308754424,0.00214491587908036,0.124157136306157,0,0.00486159775753327,0.0194476576055523,0.000698844445944312,0.322495416061366,0.108025051509066,0.00780811740982762,0.000321000033440075,0.00857345859319491,0.00534692046810373,0.309537525427687,0.195313957764018,0.00355803116441597,0.00700906344410876,0.000239644476801505
"30-04-1979",0.00672970934617394,0.00536228969770092,0.145669858121535,0.00193207995838597,0.00499299229152066,0.0294245228455755,0.001211377243825,0.322495416061366,0.108025051509066,0.0112497536273633,0.000448252119756081,0.0116996921133654,0.00673151757871018,0.309537525427687,0.195313957764018,0.00414430022605438,0.00962739174219537,0.000376150824346666
"31-05-1979",0.0237280269188374,0.0182317849721831,0.184092380806803,0.0122612766589879,0.0238700070077085,0.0713562753036437,0.00290083720720949,0.322495416061366,0.108025051509066,0.0285185802871568,0.00112525056478382,0.0303623588852925,0.0186060776899034,0.309537525427687,0.195313957764018,0.0115719237158263,0.0215508559919436,0.00118912196083785
"29-06-1979",0.0254104542553809,0.0162209263355453,0.179113711212707,0.00824849520695548,0.0243079887876664,0.0566801619433198,0.00245931375443984,0.322495416061366,0.108025051509066,0.0269569568051913,0.000955963053600914,0.03058340569985,0.017125746592136,0.309537525427687,0.195313957764018,0.0112002335513344,0.0194561933534743,0.00114665331937935
"31-07-1979",0.0364332540465278,0.0233929888062202,0.200299598404736,0.0116667905179461,0.0342063770147162,0.0804655870445344,0.00360882146985126,0.322495416061366,0.108025051509066,0.0421638340130691,0.00176552662572922,0.0473513854898555,0.0290109438130138,0.309537525427687,0.195313957764018,0.0166056189629105,0.0264249748237664,0.00164717659371161
"31-08-1979",0.0472239948947033,0.0305650512768952,0.233564470630741,0.0176116519283644,0.0452435178696566,0.106347599768652,0.00482933853037372,0.322495416061366,0.108025051509066,0.0465454765983899,0.00201481999923742,0.0525617746901397,0.0339181970808225,0.309537525427687,0.195313957764018,0.0204826992211918,0.0339979859013092,0.00215073334243376
"28-09-1979",0.0949121076753495,0.0592533011595951,0.339902449870072,0.0477075128186074,0.0847932725998598,0.171486408328514,0.00948783279478721,0.322495416061366,0.108025051509066,0.085146383249693,0.00364034958680179,0.0976237467435068,0.0599862072144424,0.309537525427687,0.195313957764018,0.037658348355059,0.0622356495468278,0.0040254205153873
"31-10-1979",0.0860358531066891,0.0581138145988337,0.346420243736365,0.0503827004532957,0.0798002803083392,0.181969346443031,0.00915247182827269,0.322495416061366,0.108025051509066,0.0839031490213321,0.00352062460206179,0.0947027709797111,0.0584455991617958,0.309537525427687,0.195313957764018,0.0340782593641338,0.0603021148036254,0.00367050401176988
"30-11-1979",0.105586819052039,0.0670956498424827,0.423532092881064,0.0540982388348072,0.0967939733707078,0.208140543666859,0.0103315081822451,0.322495416061366,0.108025051509066,0.0981093742893097,0.00420154701151768,0.106812978605826,0.0664677527155655,0.309537525427687,0.195313957764018,0.0420956703418584,0.0741993957703928,0.0045866132775174
"31-12-1979",0.161455009572431,0.103425162544406,0.543016828092214,0.0850115181689827,0.150972319551507,0.329887218045113,0.0165135395838431,0.322495416061366,0.108025051509066,0.152190063223009,0.00649981967567782,0.189437120075788,0.108744945156835,0.309537525427687,0.195313957764018,0.065578098644224,0.111621349446123,0.00726820463818234
"31-01-1980",0.24325578696989,0.16100274817347,0.733444686852966,0.127740209556365,0.222056762438683,0.517351069982649,0.0245284557646933,0.322495416061366,0.108025051509066,0.230650272147005,0.00994527902921473,0.258056366937712,0.164033095593932,0.309537525427687,0.195313957764018,0.125981945420908,0.163786505538771,0.0106656959548619
"29-02-1980",0.23397342925103,0.158656746430726,0.7399274627239,0.121943969681207,0.203880518570427,0.513591671486408,0.023182090458875,0.322495416061366,0.108025051509066,0.213169185984808,0.00919430697984604,0.242709402384148,0.151139145804635,0.309537525427687,0.195313957764018,0.1188200082259,0.155689828801611,0.00977688795862341
"31-03-1980",0.151302430817428,0.11850660231919,0.543960090602115,0.0834509920487479,0.145585143658024,0.399508386350492,0.0162730920984175,0.322495416061366,0.108025051509066,0.142259350789151,0.00624821705086644,0.163322017841636,0.102851986391591,0.309537525427687,0.195313957764018,0.0842120001613063,0.107955689828802,0.00646130045047095
"30-04-1980",0.164935893717004,0.115624371606676,0.534728124174923,0.0841197889574199,0.152855641205326,0.351503759398496,0.0162716859727718,0.322495416061366,0.108025051509066,0.153296844914111,0.00668844143746628,0.174800663140444,0.109941619996348,0.309537525427687,0.195313957764018,0.089472633905667,0.107955689828802,0.00669184450410277
